Localización,Precio m2 jun 2022,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo
España,1.876 €/m2,"+ 0,4 %","+ 2,8 %","+ 3,3 %",2.053 €/m2 jun 2007,"- 8,6 %"
Andalucía,1.832 €/m2,"+ 0,6 %","+ 4,3 %","+ 6,8 %",1.924 €/m2 jul 2006,"- 4,8 %"
Almería provincia,1.114 €/m2,"+ 0,5 %","+ 2,9 %","+ 4,8 %",1.781 €/m2 sep 2008,"- 37,5 %"
Almería,1.215 €/m2,"+ 1,0 %","+ 2,1 %","+ 4,4 %",2.306 €/m2 sep 2008,"- 47,3 %"
Cádiz provincia,1.589 €/m2,"+ 0,8 %","+ 3,6 %","+ 2,7 %",2.128 €/m2 abr 2007,"- 25,3 %"
Cádiz,2.464 €/m2,"+ 0,7 %","+ 2,3 %","+ 5,2 %",2.668 €/m2 mar 2009,"- 7,6 %"
Córdoba provincia,1.218 €/m2,"- 0,3 %","+ 2,2 %","- 1,1 %",1.771 €/m2 nov 2007,"- 31,2 %"
Córdoba,1.434 €/m2,"+ 0,5 %","+ 1,4 %","+ 1,0 %",2.178 €/m2 dic 2007,"- 34,2 %"
Granada provincia,1.403 €/m2,"+ 1,1 %","+ 3,3 %","+ 4,0 %",1.701 €/m2 dic 2006,"- 17,5 %"
Granada,1.916 €/m2,"+ 1,1 %","+ 3,0 %","+ 4,0 %",2.215 €/m2 mayo 2008,"- 13,5 %"
Huelva provincia,1.262 €/m2,"+ 0,7 %","+ 1,5 %","+ 2,2 %",1.819 €/m2 sep 2007,"- 30,6 %"
Huelva,1.110 €/m2,"+ 1,5 %","+ 1,6 %","+ 0,7 %",1.678 €/m2 jun 2008,"- 33,8 %"
Jaén provincia,835 €/m2,"- 0,5 %","+ 1,4 %","- 1,5 %",1.226 €/m2 nov 2008,"- 31,9 %"
Jaén,1.103 €/m2,"- 0,8 %","+ 0,5 %","- 2,6 %",1.665 €/m2 nov 2008,"- 33,8 %"
Málaga provincia,2.632 €/m2,"+ 1,1 %","+ 5,3 %","+ 10,8 %",2.632 €/m2 jun 2022,"0,0 %"
Málaga,2.234 €/m2,"- 0,2 %","+ 1,1 %","+ 4,6 %",2.240 €/m2 mayo 2022,"- 0,2 %"
Sevilla provincia,1.438 €/m2,"+ 0,6 %","+ 1,9 %","+ 2,0 %",1.934 €/m2 abr 2011,"- 25,6 %"
Sevilla,2.056 €/m2,"+ 1,9 %","+ 3,2 %","+ 2,9 %",2.629 €/m2 sep 2007,"- 21,8 %"
Aragón,1.317 €/m2,"- 0,9 %","+ 0,2 %","- 0,5 %",1.924 €/m2 nov 2007,"- 31,6 %"
Huesca provincia,1.360 €/m2,"- 1,1 %","- 0,2 %","- 1,4 %",2.154 €/m2 ago 2007,"- 36,9 %"
Huesca,1.527 €/m2,"+ 0,9 %","+ 5,5 %","+ 8,6 %",1.743 €/m2 dic 2011,"- 12,4 %"
Teruel provincia,902 €/m2,"+ 0,3 %","+ 3,3 %","+ 0,1 %",1.065 €/m2 abr 2011,"- 15,3 %"
Teruel,1.190 €/m2,"+ 1,5 %","+ 3,5 %","+ 0,9 %",1.643 €/m2 nov 2010,"- 27,6 %"
Zaragoza provincia,1.353 €/m2,"- 1,0 %","+ 0,1 %","+ 0,4 %",2.081 €/m2 mayo 2007,"- 35,0 %"
Zaragoza,1.662 €/m2,"0,0 %","+ 2,1 %","+ 2,4 %",2.783 €/m2 dic 2007,"- 40,3 %"
Asturias,1.352 €/m2,"- 0,4 %","- 0,3 %","- 0,7 %",1.847 €/m2 jun 2011,"- 26,8 %"
Asturias,1.352 €/m2,"- 0,4 %","- 0,3 %","- 0,7 %",1.847 €/m2 jun 2011,"- 26,8 %"
Oviedo,1.579 €/m2,"0,0 %","+ 0,3 %","+ 1,2 %",2.179 €/m2 ene 2009,"- 27,6 %"
Baleares,3.459 €/m2,"+ 1,7 %","+ 2,7 %","+ 9,1 %",3.459 €/m2 jun 2022,"0,0 %"
Baleares,3.459 €/m2,"+ 1,7 %","+ 2,7 %","+ 9,1 %",3.459 €/m2 jun 2022,"0,0 %"
Palma de Mallorca,3.292 €/m2,"+ 1,5 %","+ 2,3 %","+ 7,7 %",3.292 €/m2 jun 2022,"0,0 %"
Canarias,2.009 €/m2,"+ 0,6 %","+ 2,2 %","+ 6,2 %",2.009 €/m2 jun 2022,"0,0 %"
Las Palmas,1.990 €/m2,"+ 1,4 %","+ 1,7 %","+ 2,9 %",2.097 €/m2 mayo 2007,"- 5,1 %"
Las Palmas de Gran Canaria,2.093 €/m2,"+ 3,4 %","+ 3,1 %","+ 3,7 %",2.105 €/m2 abr 2008,"- 0,6 %"
Santa Cruz de Tenerife provincia,2.022 €/m2,"+ 0,2 %","+ 2,5 %","+ 9,1 %",2.022 €/m2 jun 2022,"0,0 %"
Santa Cruz de Tenerife,1.566 €/m2,"+ 2,8 %","+ 9,3 %","+ 4,0 %",1.822 €/m2 jul 2008,"- 14,1 %"
Cantabria,1.494 €/m2,"+ 0,3 %","+ 1,8 %","+ 2,7 %",1.988 €/m2 ene 2011,"- 24,8 %"
