"population","name"
"3255944","Madrid"
"1621537","Barcelona"
"814208","Valencia"
"703206","Sevilla"
"674317","Zaragoza"
"568305","Malaga"
"436870","Murcia"
"401270","Palma"
"381847","Las Palmas de Gran Canaria"
"354860","Bilbao"
"334757","Alicante"
"328428","Cordoba"
"317864","Valladolid"
"297332","Vigo"
"277554","Gijon"
"266477","Eixample"
"257038","L'Hospitalet de Llobregat"
"256644","Latina"
"253678","Carabanchel"
"246056","A Coruna"
"244151","Puente de Vallecas"
"235719","Sant Marti"
"235661","Gasteiz / Vitoria"
"234325","Granada"
"230112","Elche"
"228171","Ciudad Lineal"
"224005","Oviedo"
"222417","Santa Cruz de Tenerife"
"220085","Fuencarral-El Pardo"
"219547","Badalona"
"218535","Terrassa"
"211996","Cartagena"
"207532","Jerez de la Frontera"
"206493","Sabadell"
"206478","Mostoles"
"204574","Alcala de Henares"
"198491","Pamplona"
"197836","Fuenlabrada"
"188810","Almeria"
"186066","Leganes"
"185357","San Sebastian"
"183120","Sants-Montjuic"
"182700","Santander"
"180005","Castello de la Plana"
"178966","Burgos"
"169716","Albacete"
"168092","Horta-Guinardo"
"167967","Alcorcon"
"167164","Getafe"
"166310","Nou Barris"
"161661","Hortaleza"
"157367","San Blas-Canillejas"
"155619","Salamanca"
"155000","Tetuan de las Victorias"
"152107","Logrono"
"150661","La Laguna"
"149718","Madrid Centro"
"148806","Huelva"
"148797","Arganzuela"
"148334","Badajoz"
"147912","Sarria-Sant Gervasi"
"147732","Sant Andreu"
"147707","Salamanca"
"145934","Chamberi"
"141189","Usera"
"140323","Tarragona"
"140000","Chamartin"
"135919","Lleida"
"134623","Marbella"
"134305","Leon"
"126802","Villaverde"
"126766","Cadiz"
"126058","Retiro"
"122943","Dos Hermanas"
"121722","Mataro"
"121502","Gracia"
"118821","Santa Coloma de Gramenet"
"118162","Torrejon de Ardoz"
"116557","Jaen"
"116531","Moncloa-Aravaca"
"116209","Algeciras"
"115611","Parla"
"110520","Delicias"
"107742","Ourense"
"107514","Alcobendas"
"107118","Reus"
"104923","Moratalaz"
"102347","Ciutat Vella"
"101792","Torrevieja"
"100015","Telde"
"98460","Barakaldo"
"96678","Lugo"
"96366","San Fernando"
"96188","Girona"
"95550","Las Rozas de Madrid"
"95092","Santiago de Compostela"
"93131","Caceres"
"91906","Lorca"
"90280","Coslada"
"88856","Talavera de la Reina"
"88364","El Puerto de Santa Maria"
"87173","Cornella de Llobregat"
"86164","Orihuela"
"84710","El Ejido"
"83039","Guadalajara"
"82665","Roquetas de Mar"
"82651","Palencia"
"82624","Algorta"
"82428","Sant Boi de Llobregat"
"82428","Pozuelo de Alarcon"
"82291","Toledo"
"82270","Les Corts"
"81576","Pontevedra"
"80770","Getxo"
"80020","Gandia"
"79253","Sant Cugat del Valles"
"78715","Aviles"
"78674","Ceuta"
"78614","Arona"
"78543","Torrent"
"77293","Chiclana de la Frontera"
"76250","Manresa"
"75912","San Sebastian de los Reyes"
"74273","Ferrol"
"74190","Velez-Malaga"
"74014","Ciudad Real"
"73787","Mijas"
"73460","Melilla"
"72987","Rubi"
"71863","Santa Lucia"
"71482","Fuengirola"
"71034","Benidorm"
"70155","Alcala de Guadaira"
"68736","Ponferrada"
"68405","Rivas-Vaciamadrid"
"68110","Majadahonda"
"68037","Sanlucar de Barrameda"
"67904","Campina"
"66439","Vicalvaro"
"66293","Zamora"
"66168","Viladecans"
"66070","Sagunto"
"65890","Vilanova i la Geltru"
"65592","Estepona"
"65448","Torremolinos"
"65162","Villa de Vallecas"
"64595","La Linea de la Concepcion"
"64065","Molina de Segura"
"64023","Paterna"
"63418","El Prat de Llobregat"
"63074","Collado-Villalba"
"62750","Valdemoro"
"62368","Grao de Murviedro"
"62080","Castelldefels"
"61552","Alcoy"
"61338","Linares"
"60981","Granollers"
"60951","Irun"
"60279","Motril"
"60000","Gamonal"
"60000","Santutxu"
"59127","Arrecife"
"58854","Benalmadena"
"58747","Cerdanyola del Valles"
"58224","la Nova Esquerra de l'Eixample"
"56855","Avila"
"56818","Barri de Sant Andreu"
"56715","San Vicent del Raspeig"
"56660","Segovia"
"56395","Merida"
"55866","Cuenca"
"55297","Torrelavega"
"55168","Elda"
"54055","Aranjuez"
"53588","San Bartolome de Tirajana"
"52484","Mollet del Valles"
"52059","Huesca"
"51842","Puertollano"
"51774","Calvia"
"51623","Sagrada Familia"
"51489","Arganda"
"50928","la Vila de Gracia"
"50665","Utrera"
"50577","Vila-real"
"48684","Ibiza"
"48403","el Raval"
"48105","Portugalete"
"47043","Sant Gervasi - Galvany"
"46978","Santurtzi"
"46412","Barri de les Corts"
"46355","Esplugues de Llobregat"
"45994","Gava"
"45168","Antequera"
"44690","Alzira"
"44070","Mieres"
"43994","Dreta de l'Eixample"
"43827","Llefia"
"43756","Mislata"
"43700","Colmenar Viejo"
"43501","Pinto"
"43423","Barajas de Madrid"
"43414","Boadilla del Monte"
"43330","Figueres"
"43204","Adeje"
"42919","Sant Feliu de Llobregat"
"42657","Basauri"
"42248","Lucena"
"42161","l'Antiga Esquerra de l'Eixample"
"41896","Tres Cantos"
"41833","La Orotava"
"41733","Denia"
"41313","Sants"
"41148","Plasencia"
"41084","Alcantarilla"
"40981","San Fernando de Henares"
"40906","Poble Sec"
"40700","Mairena del Aljarafe"
"40548","Manacor"
"40400","Ecija"
"40183","Puerto Real"
"40047","Blanes"
"39993","Granadilla de Abona"
"39984","Sama"
"39844","Vic"
"39528","Soria"
"39363","Lloret de Mar"
"39264","Miranda de Ebro"
"39111","Andujar"
"38918","Igualada"
"38767","Errenteria"
"38666","Rincon de la Victoria"
"38512","Sant Antoni"
"38433","Burjassot"
"38425","Vilafranca del Penedes"
"38361","el Camp de l'Arpa del Clot"
"37735","Ontinyent"
"37712","Naron"
"37576","Vilagarcia de Arousa"
"37088","Ripollet"
"36827","Ronda"
"36824","Los Palacios y Villafranca"
"36669","Sant Adria de Besos"
"36405","Los Realejos"
"36259","Arucas"
"36091","Tomelloso"
"36078","Llucmajor"
"36065","Maspalomas"
"35991","el Guinardo"
"35963","Realejo Alto"
"35928","La Rinconada"
"35821","El Vendrell"
"35791","Don Benito"
"35667","Puerto del Rosario"
"35649","Ubeda"
"35614","Torre-Pacheco"
"35396","Teruel"
"35222","Villena"
"35221","Mazarron"
"35200","Cieza"
"35143","Tortosa"
"35114","Alhaurin de la Torre"
"35025","Yecla"
"34922","San Pedro de Alcantara"
"34717","Tudela"
"34565","Burriana"
"34533","Aguilas"
"34356","el Camp d'en Grassot i Gracia Nova"
"33797","Villajoyosa"
"33642","el Poblenou"
"33588","Almendralejo"
"33524","Olot"
"33453","Montcada i Reixac"
"33443","Oleiros"
"33348","Marratxi"
"32928","Aranda de Duero"
"32744","Azuqueca de Henares"
"32422","Cambrils"
"32219","Puerto de la Cruz"
"32030","Sant Joan Despi"
"31963","Fort Pienc"
"31843","El Carmel"
"31820","Galapagar"
"31760","Santa Pola"
"31670","Castro-Urdiales"
"31432","San Javier"
"31396","Arroyomolinos"
"31314","Santa Eularia des Riu"
"31210","Arcos de la Frontera"
"31197","Leioa"
"31147","Valdepenas"
